customer_id,account_id,transaction_date,transaction_amount,currency,transaction_type,source_account,is_fraud
CUST011,ACC0018,2023-01-11,380.79,USD,debit,SRC2824,0
CUST008,ACC0013,2023-03-30,951.21,USD,debit,SRC1409,0
CUST003,ACC0014,2023-02-22,734.67,EUR,credit,SRC5506,0
CUST014,ACC0002,2023-01-27,602.67,EUR,credit,SRC5012,0
CUST019,ACC0001,2023-03-15,164.46,EUR,credit,SRC4657,0
CUST001,ACC0012,2023-02-08,164.43,EUR,credit,SRC3286,0
CUST018,ACC0018,2023-03-19,67.5,USD,credit,SRC2679,0
CUST008,ACC0009,2023-02-25,867.51,EUR,debit,SRC9935,0
CUST013,ACC0011,2023-03-27,605.1,CAD,credit,SRC2424,0
CUST006,ACC0015,2023-01-17,710.99,CAD,debit,SRC7912,0
CUST013,ACC0019,2023-03-14,30.38,CAD,debit,SRC1520,0
CUST003,ACC0014,2023-01-18,970.21,EUR,debit,SRC1488,0
CUST002,ACC0009,2023-02-18,834.12,EUR,debit,SRC2535,0
CUST015,ACC0011,2023-02-13,220.22,EUR,credit,SRC4582,0
CUST014,ACC0009,2023-01-11,190.01,EUR,debit,SRC4811,0
CUST018,ACC0002,2023-02-14,191.57,USD,debit,SRC9279,0
CUST002,ACC0001,2023-02-01,311.2,USD,debit,SRC1434,0
CUST020,ACC0005,2023-01-31,529.51,USD,credit,SRC4257,0
CUST004,ACC0019,2023-01-28,437.63,EUR,credit,SRC9928,0
CUST012,ACC0006,2023-03-19,298.32,CAD,debit,SRC7873,0
CUST006,ACC0010,2023-01-14,615.73,CAD,debit,SRC4611,0
CUST010,ACC0019,2023-03-28,148.1,EUR,credit,SRC8359,0
CUST007,ACC0003,2023-03-17,299.22,CAD,debit,SRC5557,0
CUST004,ACC0010,2023-03-29,372.7,CAD,debit,SRC1106,0
CUST019,ACC0002,2023-02-14,461.51,CAD,credit,SRC3615,0
CUST012,ACC0003,2023-03-06,787.32,CAD,credit,SRC7924,0
CUST001,ACC0014,2023-03-04,207.68,USD,credit,SRC6574,0
CUST012,ACC0015,2023-04-01,519.09,USD,credit,SRC5552,0
CUST006,ACC0017,2023-03-25,596.49,EUR,credit,SRC3547,0
CUST015,ACC0014,2023-03-17,55.99,EUR,credit,SRC4527,0
CUST008,ACC0003,2023-02-05,611.47,EUR,debit,SRC6514,0
CUST015,ACC0019,2023-03-20,178.82,CAD,credit,SRC2674,0
CUST011,ACC0001,2023-03-05,74.4,EUR,debit,SRC2519,0
CUST016,ACC0007,2023-02-15,949.4,EUR,credit,SRC7224,0
CUST009,ACC0020,2023-03-31,965.98,EUR,debit,SRC2584,0
CUST017,ACC0007,2023-01-11,810.31,USD,credit,SRC6881,0
CUST016,ACC0018,2023-01-31,311.57,CAD,credit,SRC6635,0
CUST016,ACC0015,2023-01-03,106.7,USD,credit,SRC5333,0
CUST008,ACC0013,2023-03-30,687.39,USD,credit,SRC1711,0
CUST019,ACC0012,2023-03-02,445.75,CAD,credit,SRC8527,0
CUST014,ACC0018,2023-02-12,130.82,EUR,credit,SRC9785,0
CUST009,ACC0010,2023-02-02,500.23,USD,debit,SRC3045,0
CUST007,ACC0011,2023-01-16,44.04,CAD,debit,SRC7201,0
CUST007,ACC0007,2023-03-03,910.23,EUR,credit,SRC2291,0
CUST004,ACC0007,2023-02-07,266.19,USD,credit,SRC5803,0
CUST006,ACC0010,2023-01-02,665.9,CAD,debit,SRC6925,0
CUST009,ACC0002,2023-01-07,318.59,CAD,credit,SRC4150,0
CUST005,ACC0016,2023-01-14,524.87,USD,credit,SRC2139,0
CUST016,ACC0016,2023-02-26,551.24,EUR,debit,SRC1750,0
CUST002,ACC0009,2023-03-03,193.01,USD,debit,SRC4733,0
CUST013,ACC0016,2023-01-10,969.89,CAD,debit,SRC5741,0
CUST005,ACC0005,2023-03-14,777.38,EUR,debit,SRC2307,0
CUST008,ACC0004,2023-03-13,940.1,EUR,debit,SRC4814,0
CUST017,ACC0013,2023-02-27,895.88,EUR,credit,SRC2654,0
CUST019,ACC0014,2023-02-09,601.92,CAD,debit,SRC7227,0
CUST020,ACC0004,2023-01-27,922.66,CAD,debit,SRC5554,0
CUST009,ACC0003,2023-01-21,97.61,USD,debit,SRC8428,0
CUST018,ACC0003,2023-01-21,204.02,USD,credit,SRC6977,0
CUST015,ACC0020,2023-03-02,54.78,EUR,debit,SRC3664,0
CUST008,ACC0010,2023-04-01,332.08,EUR,credit,SRC7065,0
CUST003,ACC0008,2023-02-03,394.79,CAD,debit,SRC6820,0
CUST014,ACC0004,2023-03-11,278.64,USD,debit,SRC4432,0
CUST009,ACC0005,2023-01-10,830.45,USD,debit,SRC5374,0
CUST010,ACC0020,2023-03-14,363.19,EUR,credit,SRC2169,0
CUST004,ACC0015,2023-03-30,288.13,EUR,credit,SRC3803,0
CUST009,ACC0017,2023-03-11,547.27,EUR,credit,SRC9751,0
CUST003,ACC0020,2023-01-06,149.51,EUR,credit,SRC5010,0
