customer_id,account_id,transaction_date,transaction_amount,currency,transaction_type,source_account,is_fraud
1010,2114,2023-01-02,744.13,USD,debit,3142,0
1001,2692,2023-02-17,893.26,USD,credit,3032,0
1000,2095,2023-01-14,240.33,CAD,debit,3574,0
1003,2733,2023-02-11,704.31,EUR,debit,3459,0
1009,2284,2023-02-21,870.61,USD,credit,3348,0
1004,2159,2023-01-14,957.64,EUR,debit,3094,0
1006,2099,2023-01-23,849.02,CAD,credit,3826,0
1000,2747,2023-01-30,540.87,EUR,debit,3565,0
1004,2849,2023-02-10,622.33,EUR,debit,3721,0
1001,2046,2023-02-12,235.62,EUR,debit,3875,0
1003,2887,2023-01-07,386.32,EUR,credit,3166,0
1005,2363,2023-01-14,673.47,CAD,debit,3623,0
1010,2175,2023-02-04,731.84,USD,credit,3388,0
1004,2947,2023-02-10,691.28,USD,credit,3863,0
1000,2234,2023-02-22,41.78,EUR,credit,3274,0
1001,2216,2023-02-28,943.48,CAD,credit,3217,0
1010,2511,2023-01-26,885.84,CAD,credit,3146,0
1004,2142,2023-01-16,747.54,CAD,credit,3764,0
1009,2438,2023-02-27,587.7,EUR,debit,3141,0
1008,2505,2023-01-06,758.22,USD,debit,3642,0
1002,2811,2023-02-13,427.94,USD,credit,3390,0
1009,2479,2023-02-03,258.9,CAD,debit,3696,0
1001,2698,2023-02-26,541.6,EUR,credit,3114,0
1004,2445,2023-01-11,459.19,CAD,credit,3995,0
1008,2780,2023-01-12,512.6,USD,credit,3861,0
1010,2519,2023-02-08,206.92,EUR,debit,3552,0
1008,2940,2023-01-01,602.96,EUR,debit,3114,0
1005,2899,2023-02-23,808.71,USD,debit,3246,0
1009,2969,2023-01-06,94.8,EUR,debit,3778,0
1008,2784,2023-01-09,137.11,EUR,debit,3271,0
1008,2893,2023-02-08,428.91,USD,debit,3730,0
1004,2408,2023-02-12,653.38,EUR,credit,3123,0
1003,2230,2023-01-05,344.7,CAD,debit,3602,0
1003,2007,2023-01-05,710.76,USD,debit,3069,0
1000,2880,2023-01-22,80.15,USD,credit,3685,0
1007,2219,2023-02-04,140.99,CAD,credit,3248,0
1007,2826,2023-01-27,198.51,USD,credit,3362,0
1006,2420,2023-01-30,865.2,USD,debit,3062,0
1006,2745,2023-01-22,802.59,USD,debit,3196,0
1003,2549,2023-01-29,148.78,USD,credit,3473,0
1003,2895,2023-03-01,84.63,CAD,debit,3051,0
1010,2553,2023-02-23,24.61,USD,debit,3170,0
1006,2497,2023-01-31,221.61,EUR,debit,3168,0
1006,2002,2023-01-25,272.55,EUR,credit,3433,0
1008,2677,2023-02-15,491.8,USD,credit,3222,0
1000,2593,2023-02-17,546.77,CAD,credit,3058,0
1000,2598,2023-01-31,507.82,CAD,debit,3058,0
1008,2082,2023-02-24,193.97,CAD,debit,3691,0
1003,2413,2023-01-08,942.18,CAD,debit,3592,0
1009,2040,2023-02-09,91.16,CAD,credit,3957,0
1004,2209,2023-02-12,719.03,USD,credit,3405,0
1002,2687,2023-02-11,307.0,EUR,debit,3009,0
1007,2636,2023-02-06,996.14,USD,debit,3518,0
1004,2135,2023-03-01,355.52,USD,debit,3378,0
1004,2161,2023-01-29,835.41,CAD,credit,3626,0
1010,2541,2023-01-01,671.18,CAD,credit,3954,0
1010,2106,2023-03-02,879.35,EUR,debit,3911,0
1001,2760,2023-02-05,163.89,EUR,debit,3734,0
1005,2208,2023-02-13,637.9,EUR,credit,3257,0
1000,2094,2023-02-10,429.34,EUR,debit,3003,0
1005,2789,2023-01-09,640.74,EUR,debit,3759,0
1007,2564,2023-02-15,433.41,USD,debit,3077,0
1002,2558,2023-01-03,836.25,CAD,debit,3440,0
1002,2042,2023-01-20,371.01,USD,credit,3215,0
1010,2255,2023-02-12,111.77,CAD,credit,3997,0
1009,2767,2023-01-10,926.51,USD,debit,3999,0
1002,2902,2023-01-27,34.54,CAD,credit,3801,0
1006,2821,2023-02-12,865.42,USD,credit,3163,0
1001,2391,2023-02-25,48.34,EUR,debit,3204,0
1007,2358,2023-01-20,822.33,USD,debit,3024,0
1010,2197,2023-01-26,334.98,USD,credit,3359,0
1010,2521,2023-01-26,682.72,CAD,credit,3961,0
1000,2118,2023-02-26,970.7,USD,credit,3039,0
1001,2610,2023-01-28,352.23,EUR,credit,3620,0
1008,2118,2023-01-25,900.51,USD,credit,3045,0
1006,2001,2023-02-03,926.32,CAD,debit,3372,0
1006,2071,2023-03-02,667.6,EUR,credit,3679,0
1001,2737,2023-02-27,307.32,EUR,credit,3334,0
1006,2713,2023-01-19,558.87,USD,credit,3680,0
1006,2693,2023-02-17,903.78,CAD,credit,3415,0
1008,2853,2023-01-01,310.84,USD,credit,3804,0
1009,2621,2023-02-11,329.03,EUR,credit,3691,0
1003,2523,2023-01-31,795.8,CAD,debit,3674,0
1001,2290,2023-02-02,667.22,CAD,credit,3095,0
1003,2688,2023-01-20,232.39,USD,debit,3025,0
1000,2250,2023-01-31,615.16,USD,credit,3424,0
1010,2589,2023-01-13,721.16,EUR,credit,3409,0
1003,2151,2023-02-11,690.75,USD,credit,3224,0
1002,2823,2023-02-14,522.78,USD,debit,3939,0
1001,2467,2023-01-09,803.4,CAD,credit,3972,0
1007,2627,2023-02-22,722.08,CAD,credit,3850,0
1008,2456,2023-02-27,167.57,EUR,credit,3265,0
1003,2860,2023-02-10,284.54,CAD,credit,3641,0
1003,2281,2023-01-29,86.71,EUR,debit,3278,0
1005,2327,2023-02-27,544.75,USD,debit,3236,0
1006,2710,2023-01-10,709.35,USD,credit,3417,0
1005,2555,2023-01-30,421.62,USD,credit,3398,0
1009,2968,2023-02-14,29.34,CAD,credit,3488,0
1000,2965,2023-01-23,305.63,EUR,credit,3551,0
1008,2819,2023-02-08,898.83,EUR,debit,3279,0
1006,2497,2023-01-02,394.97,CAD,credit,3741,0
1002,2860,2023-01-30,920.35,CAD,debit,3928,0
1006,2606,2023-02-06,666.37,USD,credit,3138,0
1007,2186,2023-01-04,267.55,EUR,debit,3465,0
1005,2345,2023-02-18,880.84,EUR,credit,3258,0
1001,2481,2023-01-02,751.53,USD,credit,3229,0
1010,2070,2023-02-19,957.71,USD,debit,3972,0
1003,2204,2023-02-23,30.18,USD,debit,3129,0
1007,2685,2023-01-08,568.33,USD,credit,3716,0
1004,2785,2023-01-24,176.11,CAD,debit,3796,0
1002,2987,2023-01-20,117.02,USD,credit,3589,0
1010,2929,2023-01-25,402.69,CAD,debit,3077,0
1009,2707,2023-02-23,630.97,USD,credit,3870,0
1010,2614,2023-02-21,129.84,CAD,debit,3355,0
1008,2438,2023-02-12,376.87,CAD,credit,3012,0
1006,2842,2023-02-01,114.48,EUR,credit,3724,0
1002,2445,2023-01-12,736.46,CAD,credit,3630,0
1008,2793,2023-01-31,470.23,CAD,credit,3330,0
1003,2850,2023-03-01,95.8,EUR,debit,3768,0
1007,2583,2023-02-09,671.51,EUR,debit,3506,0
1005,2186,2023-02-01,220.0,EUR,credit,3286,0
1009,2718,2023-02-26,283.51,USD,debit,3087,0
1003,2737,2023-01-27,493.69,USD,credit,3661,0
1007,2458,2023-02-20,27.07,EUR,debit,3414,0
1003,2313,2023-02-12,585.74,EUR,credit,3435,0
1008,2338,2023-01-23,705.83,EUR,credit,3257,0
1003,2123,2023-02-16,200.66,USD,debit,3196,0
1003,2756,2023-01-31,283.73,CAD,credit,3102,0
